Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-03-04 03-AM,BTCUSD,8898.43,8898.43,8898.43,8898.43,0.0,0.0
2020-03-04 02-AM,BTCUSD,8898.43,8898.43,8898.43,8898.43,0.0,0.0
2020-03-04 01-AM,BTCUSD,8898.43,8898.43,8898.43,8898.43,0.0,0.0
2020-03-04 12-AM,BTCUSD,8898.43,8898.43,8898.43,8898.43,0.0,0.0
2020-03-03 11-PM,BTCUSD,8898.43,8898.43,8898.43,8898.43,0.0,0.0
2020-03-03 10-PM,BTCUSD,8717.44,8898.43,8717.44,8898.43,0.2979,2651.01
2020-03-03 09-PM,BTCUSD,8717.44,8717.44,8717.44,8717.44,0.0,0.0
2020-03-03 08-PM,BTCUSD,8717.44,8717.44,8717.44,8717.44,0.0,0.0
2020-03-03 07-PM,BTCUSD,8718,8781,8717.44,8717.44,0.04563,399.06
2020-03-03 06-PM,BTCUSD,8720,8720,8718,8718,0.004946,43.11
2020-03-03 05-PM,BTCUSD,8720,8720,8720,8720,0.0,0.0
2020-03-03 04-PM,BTCUSD,8757.19,8757.19,8720,8720,0.001,8.72
2020-03-03 03-PM,BTCUSD,8770.86,8800,8757.19,8757.19,0.08038,706.31
2020-03-03 02-PM,BTCUSD,8770.87,8775.01,8770.86,8770.86,0.3103,2722.73
2020-03-03 01-PM,BTCUSD,8810.04,9053.38,8770.87,8770.87,0.00588,52.25
2020-03-03 12-PM,BTCUSD,8800,8810.04,8800,8810.04,0.01107,97.5
2020-03-03 11-AM,BTCUSD,8800,8800,8800,8800,0.0,0.0
2020-03-03 10-AM,BTCUSD,8800,8800,8800,8800,0.0,0.0
2020-03-03 09-AM,BTCUSD,9067.28,9067.28,8800,8800,0.04545,400.0
2020-03-03 08-AM,BTCUSD,9067.28,9067.28,9067.28,9067.28,0.0,0.0
2020-03-03 07-AM,BTCUSD,9067.28,9067.28,9067.28,9067.28,0.0,0.0
2020-03-03 06-AM,BTCUSD,9067.28,9067.28,9067.28,9067.28,0.0,0.0
2020-03-03 05-AM,BTCUSD,8850,9067.28,8850,9067.28,0.002417,21.92
2020-03-03 04-AM,BTCUSD,8850,8850,8850,8850,0.0,0.0
2020-03-03 03-AM,BTCUSD,8850,8850,8850,8850,0.0,0.0
2020-03-03 02-AM,BTCUSD,8770,8850,8770,8850,0.005468,48.39
2020-03-03 01-AM,BTCUSD,8770,8770,8770,8770,0.00059,5.174
2020-03-03 12-AM,BTCUSD,8770,8770,8770,8770,0.0,0.0
2020-03-02 11-PM,BTCUSD,8770,8770,8770,8770,0.0,0.0
2020-03-02 10-PM,BTCUSD,9289.2,9289.2,8770,8770,0.002284,20.1
2020-03-02 09-PM,BTCUSD,9289.2,9289.2,9289.2,9289.2,0.0,0.0
2020-03-02 08-PM,BTCUSD,9289.2,9289.2,9289.2,9289.2,0.0,0.0
2020-03-02 07-PM,BTCUSD,9289.2,9289.2,9289.2,9289.2,0.0,0.0
2020-03-02 06-PM,BTCUSD,9289.2,9289.2,9289.2,9289.2,0.0,0.0
2020-03-02 05-PM,BTCUSD,9299.99,9299.99,9220,9289.2,0.006448,59.77
2020-03-02 04-PM,BTCUSD,9299.99,9299.99,9299.99,9299.99,0.0,0.0
2020-03-02 03-PM,BTCUSD,9299.99,9299.99,9299.99,9299.99,0.0,0.0
2020-03-02 02-PM,BTCUSD,9299.99,9299.99,9299.99,9299.99,0.0,0.0
2020-03-02 01-PM,BTCUSD,8800,9299.99,8800,9299.99,0.6163,5583.94
2020-03-02 12-PM,BTCUSD,8699.67,8800,8699.67,8800,0.01141,100.38
2020-03-02 11-AM,BTCUSD,8699.67,8699.67,8699.67,8699.67,0.0,0.0
2020-03-02 10-AM,BTCUSD,8699.67,8699.67,8699.67,8699.67,0.0,0.0
2020-03-02 09-AM,BTCUSD,8300.01,8699.67,8300.01,8699.67,0.2352,2045.25
2020-03-02 08-AM,BTCUSD,8300.01,8300.01,8300.01,8300.01,0.0,0.0
2020-03-02 07-AM,BTCUSD,8300.01,8300.01,8300.01,8300.01,0.0,0.0
2020-03-02 06-AM,BTCUSD,8300.01,8300.01,8300.01,8300.01,0.0,0.0
2020-03-02 05-AM,BTCUSD,8300.01,8300.01,8300.01,8300.01,0.0,0.0
2020-03-02 04-AM,BTCUSD,8300.01,8300.01,8300.01,8300.01,0.0,0.0
2020-03-02 03-AM,BTCUSD,8300.01,8300.01,8300.01,8300.01,0.0,0.0
2020-03-02 02-AM,BTCUSD,8300.01,8300.01,8300.01,8300.01,0.0,0.0
2020-03-02 01-AM,BTCUSD,8300.01,8300.01,8300.01,8300.01,0.0,0.0
2020-03-02 12-AM,BTCUSD,8300.02,8300.02,8300.01,8300.01,0.01394,115.73
2020-03-01 11-PM,BTCUSD,8300.02,8300.02,8300.02,8300.02,0.0,0.0
2020-03-01 10-PM,BTCUSD,8300.02,8300.02,8300.02,8300.02,0.0,0.0
2020-03-01 09-PM,BTCUSD,8500,8500,8300.02,8300.02,0.011,91.91
2020-03-01 08-PM,BTCUSD,8500,8500,8500,8500,0.0,0.0
2020-03-01 07-PM,BTCUSD,8500,8500,8500,8500,0.0,0.0
2020-03-01 06-PM,BTCUSD,8523,8523,8500,8500,0.1855,1577.19
2020-03-01 05-PM,BTCUSD,8575.34,8575.34,8523,8523,0.08537,727.72
2020-03-01 04-PM,BTCUSD,8529.1,8579.3,8529.1,8575.34,0.5485,4703.68
2020-03-01 03-PM,BTCUSD,8529.34,8529.34,8529.1,8529.1,0.00166,14.16
2020-03-01 02-PM,BTCUSD,8529.34,8529.34,8529.34,8529.34,0.0,0.0
2020-03-01 01-PM,BTCUSD,8529.34,8529.34,8529.34,8529.34,0.0,0.0
2020-03-01 12-PM,BTCUSD,8529.34,8529.34,8529.34,8529.34,0.0,0.0
2020-03-01 11-AM,BTCUSD,8529.34,8529.34,8529.34,8529.34,0.0,0.0
2020-03-01 10-AM,BTCUSD,8529.34,8529.34,8529.34,8529.34,0.0,0.0
2020-03-01 09-AM,BTCUSD,8800,8800,8529.34,8529.34,0.002355,20.09
2020-03-01 08-AM,BTCUSD,8800,8800,8800,8800,0.0,0.0
2020-03-01 07-AM,BTCUSD,8800,8800,8800,8800,0.0,0.0
2020-03-01 06-AM,BTCUSD,8800,8800,8800,8800,0.0,0.0
2020-03-01 05-AM,BTCUSD,8800,8800,8800,8800,0.0,0.0
2020-03-01 04-AM,BTCUSD,8800,8800,8800,8800,0.0,0.0
2020-03-01 03-AM,BTCUSD,8800,8800,8800,8800,0.0,0.0
