Local time,Ask,Bid,AskVolume,BidVolume,Change %
27.01.2020 09:41:22.160 GMT-0500,87.742,87.468,0.0008,0.0008,
27.01.2020 09:41:25.150 GMT-0500,87.673,87.377,0.0008,0.002,
27.01.2020 09:41:25.200 GMT-0500,87.672,87.377,0.0008,0.002,
27.01.2020 09:41:27.499 GMT-0500,87.673,87.377,0.0008,0.002,
27.01.2020 09:41:28.538 GMT-0500,87.742,87.207,0.0008,0.002,
27.01.2020 09:41:30.146 GMT-0500,87.682,87.448,0.0008,0.0008,
27.01.2020 09:41:42.099 GMT-0500,87.663,87.447,0.0008,0.002,
27.01.2020 09:41:48.580 GMT-0500,87.743,87.447,0.002,0.002,
27.01.2020 09:41:57.827 GMT-0500,87.732,87.448,0.0008,0.0008,
27.01.2020 09:41:58.122 GMT-0500,87.743,87.447,0.002,0.002,
27.01.2020 09:42:20.864 GMT-0500,87.642,87.448,0.0008,0.0008,
27.01.2020 09:42:32.438 GMT-0500,87.652,87.448,0.0008,0.0008,
27.01.2020 09:42:33.996 GMT-0500,87.632,87.448,0.0008,0.0008,
27.01.2020 09:42:35.948 GMT-0500,87.652,87.448,0.002,0.002,
27.01.2020 09:43:03.062 GMT-0500,87.612,87.448,0.0008,0.002,
27.01.2020 09:43:13.652 GMT-0500,87.652,87.447,0.0008,0.002,
27.01.2020 09:43:22.281 GMT-0500,87.652,87.477,0.0008,0.0008,
27.01.2020 09:43:22.331 GMT-0500,87.743,87.447,0.002,0.002,
27.01.2020 09:43:22.438 GMT-0500,87.742,87.618,0.0008,0.0008,
27.01.2020 09:43:22.488 GMT-0500,87.822,87.448,0.002,0.002,
27.01.2020 09:43:22.773 GMT-0500,87.862,87.448,0.002,0.002,
27.01.2020 09:43:23.067 GMT-0500,87.852,87.518,0.0008,0.0008,
27.01.2020 09:43:23.256 GMT-0500,87.853,87.517,0.002,0.002,
27.01.2020 09:43:23.387 GMT-0500,87.853,87.517,0.0008,0.002,
27.01.2020 09:43:23.438 GMT-0500,87.862,87.518,0.002,0.002,
27.01.2020 09:43:24.635 GMT-0500,87.863,87.587,0.002,0.002,
27.01.2020 09:43:26.019 GMT-0500,87.852,87.587,0.0008,0.002,
27.01.2020 09:43:26.302 GMT-0500,87.713,87.447,0.002,0.002,
27.01.2020 09:43:26.352 GMT-0500,87.712,87.447,0.0008,0.002,
27.01.2020 09:43:31.607 GMT-0500,87.672,87.448,0.002,0.002,
27.01.2020 09:43:52.841 GMT-0500,87.662,87.458,0.002,0.002,
27.01.2020 09:43:53.056 GMT-0500,87.662,87.447,0.0008,0.002,
27.01.2020 09:43:55.088 GMT-0500,87.673,87.447,0.002,0.002,
27.01.2020 09:43:56.782 GMT-0500,87.693,87.447,0.002,0.002,
27.01.2020 09:43:58.057 GMT-0500,87.773,87.447,0.002,0.002,
27.01.2020 09:43:58.117 GMT-0500,87.762,87.528,0.002,0.002,
27.01.2020 09:43:58.355 GMT-0500,87.862,87.528,0.002,0.002,
27.01.2020 09:43:58.746 GMT-0500,87.732,87.527,0.0008,0.002,
27.01.2020 09:44:12.129 GMT-0500,87.702,87.528,0.0008,0.002,
27.01.2020 09:44:33.239 GMT-0500,87.702,87.528,0.0008,0.002,
27.01.2020 09:44:33.289 GMT-0500,87.853,87.627,0.002,0.002,
27.01.2020 09:44:33.404 GMT-0500,87.932,87.627,0.0008,0.002,
27.01.2020 09:44:33.499 GMT-0500,87.932,87.607,0.0008,0.002,
27.01.2020 09:44:33.757 GMT-0500,87.833,87.607,0.0008,0.002,
27.01.2020 09:44:39.267 GMT-0500,87.833,87.607,0.0008,0.002,
27.01.2020 09:44:39.317 GMT-0500,87.932,87.608,0.0008,0.0008,
27.01.2020 09:44:39.767 GMT-0500,87.863,87.607,0.0008,0.002,
27.01.2020 09:44:42.009 GMT-0500,87.853,87.617,0.0008,0.0008,
27.01.2020 09:44:42.197 GMT-0500,87.863,87.607,0.002,0.002,
27.01.2020 09:44:48.125 GMT-0500,87.862,87.607,0.0008,0.002,
27.01.2020 09:44:48.175 GMT-0500,87.862,87.617,0.0008,0.002,
27.01.2020 09:44:48.226 GMT-0500,87.862,87.607,0.0008,0.002,
27.01.2020 09:44:49.787 GMT-0500,87.862,87.687,0.0008,0.0008,
27.01.2020 09:45:09.874 GMT-0500,87.922,87.688,0.0008,0.0008,
27.01.2020 09:45:09.925 GMT-0500,87.933,87.687,0.002,0.002,
27.01.2020 09:45:10.105 GMT-0500,87.863,87.687,0.0008,0.002,
27.01.2020 09:45:11.532 GMT-0500,87.862,87.687,0.0008,0.002,
27.01.2020 09:45:12.133 GMT-0500,87.863,87.687,0.0008,0.002,
27.01.2020 09:45:12.238 GMT-0500,87.932,87.698,0.0008,0.0008,
27.01.2020 09:45:13.083 GMT-0500,87.942,87.688,0.0008,0.0008,
27.01.2020 09:45:16.221 GMT-0500,87.943,87.797,0.002,0.0008,
27.01.2020 09:45:16.272 GMT-0500,87.993,87.697,0.002,0.002,
27.01.2020 09:45:17.755 GMT-0500,87.932,87.688,0.0008,0.0008,
27.01.2020 09:45:21.716 GMT-0500,87.932,87.698,0.002,0.002,
27.01.2020 09:45:21.804 GMT-0500,87.932,87.688,0.0008,0.0008,
27.01.2020 09:45:22.522 GMT-0500,87.932,87.688,0.0008,0.002,
27.01.2020 09:45:22.704 GMT-0500,87.933,87.697,0.002,0.0008,
27.01.2020 09:45:22.754 GMT-0500,87.932,87.688,0.0008,0.0008,
27.01.2020 09:45:25.218 GMT-0500,87.932,87.698,0.0008,0.0008,
27.01.2020 09:45:25.451 GMT-0500,87.932,87.688,0.002,0.002,
27.01.2020 09:45:35.463 GMT-0500,87.932,87.688,0.0008,0.002,
27.01.2020 09:45:35.513 GMT-0500,87.982,87.838,0.0008,0.0008,
27.01.2020 09:45:35.564 GMT-0500,88.092,87.937,0.0008,0.002,
27.01.2020 09:45:35.761 GMT-0500,88.072,87.938,0.002,0.002,
27.01.2020 09:45:37.246 GMT-0500,88.162,87.938,0.0008,0.0008,
27.01.2020 09:45:43.001 GMT-0500,88.153,87.937,0.0008,0.002,
27.01.2020 09:45:43.106 GMT-0500,88.152,87.937,0.0008,0.002,
27.01.2020 09:45:43.156 GMT-0500,88.163,87.937,0.002,0.002,
27.01.2020 09:45:45.130 GMT-0500,88.162,87.937,0.0008,0.0008,
27.01.2020 09:45:46.634 GMT-0500,87.993,87.827,0.0008,0.002,
27.01.2020 09:46:03.128 GMT-0500,87.992,87.827,0.0008,0.002,
27.01.2020 09:46:07.525 GMT-0500,87.992,87.828,0.0008,0.0008,
27.01.2020 09:46:13.076 GMT-0500,87.973,87.837,0.0008,0.0008,
27.01.2020 09:46:16.385 GMT-0500,88.032,87.918,0.0008,0.002,
27.01.2020 09:46:16.436 GMT-0500,88.162,87.918,0.002,0.002,
27.01.2020 09:46:16.684 GMT-0500,88.163,87.917,0.002,0.002,
27.01.2020 09:46:17.135 GMT-0500,88.162,87.918,0.0008,0.0008,
27.01.2020 09:46:17.185 GMT-0500,88.152,87.918,0.002,0.002,
27.01.2020 09:46:17.374 GMT-0500,88.162,87.918,0.0008,0.0008,
27.01.2020 09:46:22.412 GMT-0500,88.103,87.917,0.0008,0.002,
27.01.2020 09:46:22.728 GMT-0500,88.092,87.918,0.0008,0.002,
27.01.2020 09:46:22.778 GMT-0500,88.102,87.918,0.002,0.002,
27.01.2020 09:46:33.577 GMT-0500,88.092,87.918,0.0008,0.002,
27.01.2020 09:46:33.833 GMT-0500,88.093,87.917,0.0008,0.002,
